drugname1	drugname2	cell_line	synergy	fold	drug1_fold	drug2_fold	cell_fold
CYCLOPHOSPHAMIDE	L778123	A2058	9.7425	5	6	5	0
CYCLOPHOSPHAMIDE	LAPATINIB	A2058	7.8975	5	6	6	0
CYCLOPHOSPHAMIDE	MK-2206	A2058	8.567499999999999	9	6	0	0
CYCLOPHOSPHAMIDE	MK-4827	A2058	5.444999999999999	0	6	2	0
CYCLOPHOSPHAMIDE	MK-5108	A2058	5.2875	8	6	3	0
CYCLOPHOSPHAMIDE	MK-8669	A2058	11.29	3	6	4	0
CYCLOPHOSPHAMIDE	PD325901	A2058	6.77	8	6	9	0
CYCLOPHOSPHAMIDE	SORAFENIB	A2058	13.945	1	6	1	0
CYCLOPHOSPHAMIDE	SUNITINIB	A2058	16.3775	0	6	2	0
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A2058	11.87	3	6	3	0
CYCLOPHOSPHAMIDE	ZOLINZA	A2058	13.43	0	6	7	0
DASATINIB	BEZ-235	A2058	9.185	0	7	3	0
DASATINIB	DINACICLIB	A2058	7.8975	4	7	9	0
DASATINIB	MK-8669	A2058	12.16	7	7	4	0
DASATINIB	MK-8776	A2058	5.984999999999999	1	7	5	0
DASATINIB	OXALIPLATIN	A2058	7.5175	8	7	7	0
DASATINIB	SN-38	A2058	6.32	8	7	0	0
DASATINIB	SORAFENIB	A2058	15.305	5	7	1	0
DEXAMETHASONE	BEZ-235	A2058	8.2575	2	8	3	0
DEXAMETHASONE	BORTEZOMIB	A2058	4.029999999999999	5	8	4	0
DEXAMETHASONE	GELDANAMYCIN	A2058	8.7775	4	8	3	0
DEXAMETHASONE	L778123	A2058	4.625	1	8	5	0
DEXAMETHASONE	MK-2206	A2058	8.5675	3	8	0	0
DEXAMETHASONE	MK-8669	A2058	11.3725	6	8	4	0
DEXAMETHASONE	PD325901	A2058	11.3625	4	8	9	0
DEXAMETHASONE	SORAFENIB	A2058	19.6575	9	8	1	0
DEXAMETHASONE	SUNITINIB	A2058	17.79	4	8	2	0
DEXAMETHASONE	ZOLINZA	A2058	8.2975	1	8	7	0
ERLOTINIB	BEZ-235	A2058	6.875	8	1	3	0
ERLOTINIB	DASATINIB	A2058	8.095	2	1	7	0
ERLOTINIB	GELDANAMYCIN	A2058	6.3725	6	1	3	0
ERLOTINIB	MK-8669	A2058	19.3625	7	1	4	0
ERLOTINIB	MK-8776	A2058	4.78	9	1	5	0
ERLOTINIB	PD325901	A2058	4.012499999999999	0	1	9	0
ERLOTINIB	SN-38	A2058	7.9375	4	1	0	0
ERLOTINIB	SORAFENIB	A2058	9.4075	6	1	1	0
ERLOTINIB	TOPOTECAN	A2058	10.095	2	1	4	0
ETOPOSIDE	ABT-888	A2058	4.0975	5	2	1	0
ETOPOSIDE	AZD1775	A2058	8.995000000000001	7	2	2	0
ETOPOSIDE	GELDANAMYCIN	A2058	8.405	1	2	3	0
ETOPOSIDE	MK-2206	A2058	5.8075	8	2	0	0
ETOPOSIDE	MK-8776	A2058	9.537499999999998	6	2	5	0
ETOPOSIDE	PD325901	A2058	4.1375	6	2	9	0
ETOPOSIDE	ZOLINZA	A2058	7.1675	4	2	7	0
GELDANAMYCIN	BEZ-235	A2058	6.2425	5	3	3	0
GELDANAMYCIN	DINACICLIB	A2058	4.7375	0	3	9	0
GELDANAMYCIN	MK-8776	A2058	13.025	6	3	5	0
GELDANAMYCIN	OXALIPLATIN	A2058	9.465	5	3	7	0
GELDANAMYCIN	SN-38	A2058	10.075	1	3	0	0
GELDANAMYCIN	SORAFENIB	A2058	16.6375	7	3	1	0
GELDANAMYCIN	TOPOTECAN	A2058	6.5775	9	3	4	0
GEMCITABINE	ABT-888	A2058	5.4350000000000005	5	4	1	0
GEMCITABINE	AZD1775	A2058	14.335	4	4	2	0
GEMCITABINE	BEZ-235	A2058	7.6275	2	4	3	0
GEMCITABINE	BORTEZOMIB	A2058	8.05	7	4	4	0
GEMCITABINE	DINACICLIB	A2058	7.735	9	4	9	0
GEMCITABINE	ERLOTINIB	A2058	7.377499999999999	4	4	1	0
GEMCITABINE	GELDANAMYCIN	A2058	7.385	3	4	3	0
GEMCITABINE	LAPATINIB	A2058	6.7875	1	4	6	0
GEMCITABINE	MK-2206	A2058	11.835	3	4	0	0
GEMCITABINE	MK-5108	A2058	12.3475	8	4	3	0
GEMCITABINE	MK-8669	A2058	8.93	9	4	4	0
GEMCITABINE	MK-8776	A2058	26.255	0	4	5	0
GEMCITABINE	PD325901	A2058	8.065	6	4	9	0
GEMCITABINE	SUNITINIB	A2058	7.635	1	4	2	0
GEMCITABINE	TEMOZOLOMIDE	A2058	3.88	6	4	3	0
L778123	ABT-888	A2058	7.3925	5	5	1	0
L778123	AZD1775	A2058	4.38625	7	5	2	0
L778123	BEZ-235	A2058	10.005	3	5	3	0
L778123	BORTEZOMIB	A2058	5.35	8	5	4	0
L778123	DASATINIB	A2058	8.217500000000001	2	5	7	0
L778123	DINACICLIB	A2058	8.77	9	5	9	0
L778123	ERLOTINIB	A2058	6.702500000000001	6	5	1	0
L778123	ETOPOSIDE	A2058	8.305	0	5	2	0
L778123	GELDANAMYCIN	A2058	11.975	8	5	3	0
L778123	GEMCITABINE	A2058	11.499999999999998	3	5	4	0
L778123	LAPATINIB	A2058	12.6575	8	5	6	0
L778123	MK-2206	A2058	11.72	8	5	0	0
L778123	MK-4827	A2058	9.1775	8	5	2	0
L778123	MK-5108	A2058	17.5175	0	5	3	0
L778123	MK-8669	A2058	15.63125	0	5	4	0
L778123	MK-8776	A2058	11.365000000000002	1	5	5	0
L778123	OXALIPLATIN	A2058	5.0075	0	5	7	0
L778123	PD325901	A2058	5.495	6	5	9	0
L778123	SN-38	A2058	27.9375	1	5	0	0
L778123	SORAFENIB	A2058	31.360000000000003	9	5	1	0
L778123	SUNITINIB	A2058	23.6125	6	5	2	0
L778123	TEMOZOLOMIDE	A2058	13.755	1	5	3	0
L778123	TOPOTECAN	A2058	19.575	1	5	4	0
L778123	VINORELBINE	A2058	7.61	7	5	6	0
L778123	ZOLINZA	A2058	14.7775	1	5	7	0
LAPATINIB	ABT-888	A2058	6.2475000000000005	4	6	1	0
LAPATINIB	BEZ-235	A2058	12.079999999999998	3	6	3	0
LAPATINIB	BORTEZOMIB	A2058	5.775	1	6	4	0
LAPATINIB	DASATINIB	A2058	12.5225	2	6	7	0
LAPATINIB	DINACICLIB	A2058	9.7175	5	6	9	0
LAPATINIB	ERLOTINIB	A2058	8.1	5	6	1	0
LAPATINIB	GELDANAMYCIN	A2058	9.505	9	6	3	0
LAPATINIB	MK-2206	A2058	8.33875	9	6	0	0
LAPATINIB	MK-4827	A2058	3.725	8	6	2	0
LAPATINIB	MK-5108	A2058	4.07	7	6	3	0
LAPATINIB	MK-8669	A2058	8.7975	5	6	4	0
LAPATINIB	MK-8776	A2058	6.1675	1	6	5	0
LAPATINIB	OXALIPLATIN	A2058	8.795000000000002	3	6	7	0
LAPATINIB	PD325901	A2058	25.1475	7	6	9	0
LAPATINIB	SN-38	A2058	11.57	1	6	0	0
LAPATINIB	SORAFENIB	A2058	21.4175	0	6	1	0
LAPATINIB	TOPOTECAN	A2058	8.085	3	6	4	0
METFORMIN	ABT-888	A2058	17.1875	4	7	1	0
METFORMIN	AZD1775	A2058	8.655	2	7	2	0
METFORMIN	BEZ-235	A2058	16.695	1	7	3	0
METFORMIN	DASATINIB	A2058	5.9075	4	7	7	0
METFORMIN	DINACICLIB	A2058	5.272500000000001	0	7	9	0
METFORMIN	ERLOTINIB	A2058	4.585000000000001	8	7	1	0
METFORMIN	GELDANAMYCIN	A2058	9.0375	5	7	3	0
METFORMIN	L778123	A2058	13.21	4	7	5	0
METFORMIN	LAPATINIB	A2058	10.895	7	7	6	0
METFORMIN	MK-2206	A2058	11.6	3	7	0	0
METFORMIN	MK-5108	A2058	7.6225	7	7	3	0
METFORMIN	MK-8669	A2058	14.3625	4	7	4	0
METFORMIN	PD325901	A2058	23.595	8	7	9	0
METFORMIN	SORAFENIB	A2058	19.0225	5	7	1	0
METFORMIN	SUNITINIB	A2058	12.552500000000002	8	7	2	0
METFORMIN	ZOLINZA	A2058	12.8125	1	7	7	0
MITOMYCINE	ABT-888	A2058	13.325	1	9	1	0
MITOMYCINE	AZD1775	A2058	13.2225	8	9	2	0
MITOMYCINE	BORTEZOMIB	A2058	7.7775	6	9	4	0
MITOMYCINE	DASATINIB	A2058	10.8475	6	9	7	0
MITOMYCINE	DINACICLIB	A2058	6.115	2	9	9	0
MITOMYCINE	GELDANAMYCIN	A2058	9.2225	5	9	3	0
MITOMYCINE	LAPATINIB	A2058	15.695	8	9	6	0
MITOMYCINE	MK-2206	A2058	6.7875000000000005	3	9	0	0
MITOMYCINE	MK-5108	A2058	4.297499999999999	9	9	3	0
MITOMYCINE	MK-8776	A2058	6.5512500000000005	8	9	5	0
MITOMYCINE	PD325901	A2058	14.197500000000002	6	9	9	0
MITOMYCINE	SUNITINIB	A2058	8.010000000000002	3	9	2	0
MITOMYCINE	ZOLINZA	A2058	16.39	7	9	7	0
MK-2206	ABT-888	A2058	6.5125	5	0	1	0
MK-2206	BEZ-235	A2058	9.4525	4	0	3	0
MK-2206	DASATINIB	A2058	14.4475	2	0	7	0
MK-2206	GELDANAMYCIN	A2058	5.6275	8	0	3	0
MK-2206	MK-8669	A2058	10.861250000000002	1	0	4	0
MK-2206	PD325901	A2058	12.1825	5	0	9	0
MK-2206	SN-38	A2058	6.23	9	0	0	0
MK-2206	SORAFENIB	A2058	14.805	5	0	1	0
MK-2206	TOPOTECAN	A2058	5.09	6	0	4	0
MK-4541	ABT-888	A2058	4.6975	6	1	1	0
MK-4541	METFORMIN	A2058	4.265000000000001	6	1	7	0
MK-4541	MITOMYCINE	A2058	12.07	7	1	9	0
MK-4541	SORAFENIB	A2058	6.98	5	1	1	0
MK-4541	SUNITINIB	A2058	7.225	7	1	2	0
MK-4827	GELDANAMYCIN	A2058	7.1	2	2	3	0
MK-4827	MK-2206	A2058	11.185	8	2	0	0
MK-4827	MK-8776	A2058	9.185	7	2	5	0
MK-4827	OXALIPLATIN	A2058	4.9175	3	2	7	0
MK-4827	SN-38	A2058	4.45	2	2	0	0
MK-5108	ABT-888	A2058	5.7675	9	3	1	0
MK-5108	DASATINIB	A2058	3.7675	2	3	7	0
MK-5108	MK-4827	A2058	11.9125	7	3	2	0
MK-5108	MK-8669	A2058	4.255	1	3	4	0
MK-5108	SORAFENIB	A2058	6.675000000000001	2	3	1	0
MK-5108	TOPOTECAN	A2058	7.2775	5	3	4	0
MK-8669	BEZ-235	A2058	18.0075	4	4	3	0
MK-8669	DINACICLIB	A2058	4.1075	4	4	9	0
MK-8669	GELDANAMYCIN	A2058	6.8675	4	4	3	0
MK-8669	MK-8776	A2058	7.705	6	4	5	0
MK-8669	SORAFENIB	A2058	11.96	6	4	1	0
MRK-003	5-FU	A2058	16.585	4	6	0	0
MRK-003	ABT-888	A2058	10.0075	9	6	1	0
MRK-003	AZD1775	A2058	7.830000000000001	4	6	2	0
MRK-003	BEZ-235	A2058	8.424999999999999	2	6	3	0
MRK-003	BORTEZOMIB	A2058	5.91	3	6	4	0
MRK-003	CARBOPLATIN	A2058	8.42	0	6	5	0
MRK-003	CYCLOPHOSPHAMIDE	A2058	8.569999999999999	0	6	6	0
MRK-003	DASATINIB	A2058	11.255	0	6	7	0
MRK-003	DEXAMETHASONE	A2058	10.0725	2	6	8	0
MRK-003	ERLOTINIB	A2058	4.865	6	6	1	0
MRK-003	ETOPOSIDE	A2058	3.9425	7	6	2	0
MRK-003	GELDANAMYCIN	A2058	6.0375000000000005	1	6	3	0
MRK-003	GEMCITABINE	A2058	8.815	8	6	4	0
MRK-003	L778123	A2058	10.305	1	6	5	0
MRK-003	LAPATINIB	A2058	12.73625	9	6	6	0
MRK-003	METFORMIN	A2058	14.795000000000002	3	6	7	0
MRK-003	MITOMYCINE	A2058	8.36	1	6	9	0
MRK-003	MK-2206	A2058	11.555	9	6	0	0
MRK-003	MK-4827	A2058	13.95	0	6	2	0
MRK-003	MK-8669	A2058	11.375	9	6	4	0
MRK-003	OXALIPLATIN	A2058	9.54	2	6	7	0
MRK-003	PD325901	A2058	11.7725	6	6	9	0
MRK-003	SN-38	A2058	8.755	2	6	0	0
MRK-003	SORAFENIB	A2058	18.915	8	6	1	0
MRK-003	SUNITINIB	A2058	10.5275	4	6	2	0
MRK-003	TEMOZOLOMIDE	A2058	6.890000000000001	9	6	3	0
MRK-003	TOPOTECAN	A2058	13.4575	0	6	4	0
MRK-003	VINBLASTINE	A2058	10.49125	1	6	5	0
MRK-003	VINORELBINE	A2058	4.9875	7	6	6	0
MRK-003	ZOLINZA	A2058	7.865	7	6	7	0
OXALIPLATIN	MK-8776	A2058	11.534999999999998	7	7	5	0
OXALIPLATIN	SORAFENIB	A2058	6.5425	5	7	1	0
PACLITAXEL	ABT-888	A2058	4.675000000000001	4	8	1	0
PACLITAXEL	L778123	A2058	8.3375	9	8	5	0
PACLITAXEL	MK-5108	A2058	8.8225	5	8	3	0
PACLITAXEL	PD325901	A2058	5.3950000000000005	2	8	9	0
PACLITAXEL	SUNITINIB	A2058	4.97	7	8	2	0
PD325901	ABT-888	A2058	6.265000000000001	2	9	1	0
PD325901	BEZ-235	A2058	11.3225	7	9	3	0
PD325901	BORTEZOMIB	A2058	4.0975	4	9	4	0
PD325901	DINACICLIB	A2058	4.355	8	9	9	0
PD325901	MK-8669	A2058	11.6775	4	9	4	0
PD325901	OXALIPLATIN	A2058	6.0525	5	9	7	0
PD325901	SORAFENIB	A2058	27.225	2	9	1	0
SN-38	DINACICLIB	A2058	4.8	4	0	9	0
SN-38	MK-8776	A2058	5.1450000000000005	8	0	5	0
SN-38	SORAFENIB	A2058	10.9075	3	0	1	0
SORAFENIB	DINACICLIB	A2058	10.76	5	1	9	0
SORAFENIB	MK-8776	A2058	7.719999999999999	8	1	5	0
SUNITINIB	ABT-888	A2058	15.4525	9	2	1	0
SUNITINIB	AZD1775	A2058	10.1675	3	2	2	0
SUNITINIB	BEZ-235	A2058	14.0225	4	2	3	0
SUNITINIB	BORTEZOMIB	A2058	5.8775	8	2	4	0
SUNITINIB	DASATINIB	A2058	17.657500000000002	6	2	7	0
SUNITINIB	DINACICLIB	A2058	12.045000000000002	0	2	9	0
SUNITINIB	ERLOTINIB	A2058	14.34	5	2	1	0
SUNITINIB	GELDANAMYCIN	A2058	9.5975	1	2	3	0
SUNITINIB	LAPATINIB	A2058	25.685	0	2	6	0
SUNITINIB	MK-2206	A2058	16.8275	3	2	0	0
SUNITINIB	MK-8669	A2058	23.1325	0	2	4	0
SUNITINIB	MK-8776	A2058	15.5	2	2	5	0
SUNITINIB	OXALIPLATIN	A2058	7.5525	1	2	7	0
SUNITINIB	PD325901	A2058	12.0275	8	2	9	0
SUNITINIB	SN-38	A2058	8.057500000000001	0	2	0	0
SUNITINIB	SORAFENIB	A2058	13.875	1	2	1	0
TEMOZOLOMIDE	ABT-888	A2058	16.4925	9	3	1	0
TEMOZOLOMIDE	AZD1775	A2058	13.8225	0	3	2	0
TEMOZOLOMIDE	BORTEZOMIB	A2058	5.0525	3	3	4	0
TEMOZOLOMIDE	GELDANAMYCIN	A2058	9.485	3	3	3	0
TEMOZOLOMIDE	LAPATINIB	A2058	5.432500000000001	9	3	6	0
TEMOZOLOMIDE	MK-8776	A2058	20.305	6	3	5	0
TEMOZOLOMIDE	PD325901	A2058	6.967499999999999	8	3	9	0
TEMOZOLOMIDE	SORAFENIB	A2058	4.84	6	3	1	0
TOPOTECAN	MK-8776	A2058	9.8875	0	4	5	0
TOPOTECAN	SORAFENIB	A2058	6.4725	0	4	1	0
VINBLASTINE	ERLOTINIB	A2058	8.3725	0	5	1	0
VINBLASTINE	L778123	A2058	18.795	4	5	5	0
VINBLASTINE	SORAFENIB	A2058	16.36	2	5	1	0
VINBLASTINE	SUNITINIB	A2058	7.6	7	5	2	0
ZOLINZA	ABT-888	A2058	13.57	6	7	1	0
ZOLINZA	AZD1775	A2058	12.8025	2	7	2	0
ZOLINZA	BEZ-235	A2058	10.035	1	7	3	0
ZOLINZA	BORTEZOMIB	A2058	10.2025	4	7	4	0
ZOLINZA	DASATINIB	A2058	12.5975	7	7	7	0
ZOLINZA	ERLOTINIB	A2058	11.455	7	7	1	0
ZOLINZA	GELDANAMYCIN	A2058	5.415	8	7	3	0
ZOLINZA	GEMCITABINE	A2058	7.395	5	7	4	0
ZOLINZA	LAPATINIB	A2058	10.87	8	7	6	0
ZOLINZA	MK-2206	A2058	9.4175	7	7	0	0
ZOLINZA	MK-8669	A2058	11.8775	2	7	4	0
ZOLINZA	MK-8776	A2058	14.58	3	7	5	0
ZOLINZA	OXALIPLATIN	A2058	12.2975	4	7	7	0
ZOLINZA	PD325901	A2058	6.6525	4	7	9	0
ZOLINZA	SN-38	A2058	8.889999999999999	6	7	0	0
ZOLINZA	SORAFENIB	A2058	16.835	7	7	1	0
ZOLINZA	SUNITINIB	A2058	10.6375	2	7	2	0
ZOLINZA	TEMOZOLOMIDE	A2058	12.335	7	7	3	0
ZOLINZA	TOPOTECAN	A2058	6.7325	1	7	4	0
5-FU	BORTEZOMIB	A2058	2.8150000000000004	6	0	4	0
5-FU	MK-4827	A2058	-0.8225	9	0	2	0
5-FU	TEMOZOLOMIDE	A2058	-0.7449999999999999	0	0	3	0
ABT-888	TOPOTECAN	A2058	2.52	8	1	4	0
AZD1775	BORTEZOMIB	A2058	2.885	9	2	4	0
AZD1775	DINACICLIB	A2058	2.8675	1	2	9	0
AZD1775	MK-5108	A2058	0.6125	1	2	3	0
BEZ-235	SN-38	A2058	2.1625	2	3	0	0
BORTEZOMIB	DINACICLIB	A2058	0.3124999999999999	4	4	9	0
BORTEZOMIB	GELDANAMYCIN	A2058	3.3325	1	4	3	0
BORTEZOMIB	MK-8669	A2058	1.71	7	4	4	0
BORTEZOMIB	OXALIPLATIN	A2058	3.21	2	4	7	0
BORTEZOMIB	TOPOTECAN	A2058	1.95	2	4	4	0
CARBOPLATIN	ABT-888	A2058	3.3675	3	5	1	0
CARBOPLATIN	BEZ-235	A2058	1.7675	0	5	3	0
CARBOPLATIN	MK-4827	A2058	3.3975	4	5	2	0
CARBOPLATIN	MK-5108	A2058	1.6950000000000005	8	5	3	0
CARBOPLATIN	SORAFENIB	A2058	1.62	7	5	1	0
CARBOPLATIN	TEMOZOLOMIDE	A2058	-3.2550000000000003	0	5	3	0
CYCLOPHOSPHAMIDE	MK-8776	A2058	3.05	5	6	5	0
DASATINIB	ABT-888	A2058	-0.0374999999999999	1	7	1	0
DASATINIB	GELDANAMYCIN	A2058	-2.125	4	7	3	0
DASATINIB	TOPOTECAN	A2058	1.0875	4	7	4	0
DEXAMETHASONE	ABT-888	A2058	2.3675	4	8	1	0
DEXAMETHASONE	AZD1775	A2058	2.1175	5	8	2	0
DEXAMETHASONE	DASATINIB	A2058	2.585	1	8	7	0
DEXAMETHASONE	DINACICLIB	A2058	3.6625	2	8	9	0
DEXAMETHASONE	ERLOTINIB	A2058	-0.5525000000000001	0	8	1	0
DEXAMETHASONE	LAPATINIB	A2058	3.39	4	8	6	0
DEXAMETHASONE	MK-5108	A2058	-0.7475000000000002	5	8	3	0
DEXAMETHASONE	MK-8776	A2058	1.9725	5	8	5	0
DINACICLIB	MK-8776	A2058	-1.1549999999999998	8	9	5	0
DOXORUBICIN	ABT-888	A2058	-1.99	1	0	1	0
DOXORUBICIN	AZD1775	A2058	2.475	1	0	2	0
DOXORUBICIN	BEZ-235	A2058	-3.24	9	0	3	0
DOXORUBICIN	BORTEZOMIB	A2058	-1.0199999999999998	7	0	4	0
DOXORUBICIN	DASATINIB	A2058	-0.79	4	0	7	0
DOXORUBICIN	DINACICLIB	A2058	-0.225	5	0	9	0
DOXORUBICIN	ERLOTINIB	A2058	-0.4825	6	0	1	0
DOXORUBICIN	GELDANAMYCIN	A2058	-0.1375	9	0	3	0
DOXORUBICIN	L778123	A2058	2.52	8	0	5	0
DOXORUBICIN	LAPATINIB	A2058	1.63	7	0	6	0
DOXORUBICIN	MK-2206	A2058	-0.4925	9	0	0	0
DOXORUBICIN	MK-8776	A2058	-2.2675	2	0	5	0
DOXORUBICIN	PD325901	A2058	0.8825	7	0	9	0
DOXORUBICIN	SORAFENIB	A2058	-1.34	9	0	1	0
DOXORUBICIN	SUNITINIB	A2058	-2.045	2	0	2	0
DOXORUBICIN	ZOLINZA	A2058	0.995	7	0	7	0
ERLOTINIB	ABT-888	A2058	3.2950000000000004	0	1	1	0
ERLOTINIB	BORTEZOMIB	A2058	1.6800000000000002	8	1	4	0
ERLOTINIB	DINACICLIB	A2058	3.3825000000000003	2	1	9	0
ERLOTINIB	OXALIPLATIN	A2058	0.8400000000000001	0	1	7	0
ETOPOSIDE	BEZ-235	A2058	0.2025	4	2	3	0
ETOPOSIDE	BORTEZOMIB	A2058	2.6225	1	2	4	0
ETOPOSIDE	DASATINIB	A2058	-0.13	5	2	7	0
ETOPOSIDE	DINACICLIB	A2058	3.4325	6	2	9	0
ETOPOSIDE	ERLOTINIB	A2058	1.0725	6	2	1	0
ETOPOSIDE	LAPATINIB	A2058	2.515	4	2	6	0
ETOPOSIDE	MK-4827	A2058	-1.3824999999999998	3	2	2	0
ETOPOSIDE	MK-5108	A2058	3.22	3	2	3	0
ETOPOSIDE	MK-8669	A2058	-0.0624999999999998	2	2	4	0
ETOPOSIDE	SORAFENIB	A2058	3.42	1	2	1	0
ETOPOSIDE	SUNITINIB	A2058	2.885	9	2	2	0
ETOPOSIDE	TEMOZOLOMIDE	A2058	1.5750000000000002	8	2	3	0
GEMCITABINE	DASATINIB	A2058	3.4025000000000003	9	4	7	0
GEMCITABINE	MK-4827	A2058	-1.9575	9	4	2	0
GEMCITABINE	SORAFENIB	A2058	3.33	3	4	1	0
METFORMIN	BORTEZOMIB	A2058	1.9075	6	7	4	0
METFORMIN	MK-4827	A2058	2.9325	2	7	2	0
METFORMIN	MK-8776	A2058	-0.93	0	7	5	0
METFORMIN	TEMOZOLOMIDE	A2058	2.0425	0	7	3	0
METHOTREXATE	AZD1775	A2058	-3.3225	8	8	2	0
METHOTREXATE	DASATINIB	A2058	-0.8399999999999999	5	8	7	0
METHOTREXATE	DINACICLIB	A2058	0.6775	2	8	9	0
METHOTREXATE	ERLOTINIB	A2058	-2.365	8	8	1	0
METHOTREXATE	MK-2206	A2058	-1.6875	3	8	0	0
METHOTREXATE	SORAFENIB	A2058	-2.92	5	8	1	0
MITOMYCINE	BEZ-235	A2058	3.5175	2	9	3	0
MITOMYCINE	L778123	A2058	-0.88	7	9	5	0
MITOMYCINE	MK-4827	A2058	-0.0274999999999999	9	9	2	0
MITOMYCINE	MK-8669	A2058	3.48	8	9	4	0
MITOMYCINE	TEMOZOLOMIDE	A2058	0.6074999999999999	8	9	3	0
MK-2206	BORTEZOMIB	A2058	0.73	8	0	4	0
MK-2206	DINACICLIB	A2058	1.2975	0	0	9	0
MK-2206	ERLOTINIB	A2058	3.585	6	0	1	0
